,City,Count,Population,Prediction
0,Vancouver,300,662248,240.94510182557391
1,Surrey,133,568322,206.57445551155132
2,Burnaby,104,249125,89.76966033772223
3,Abbotsford,72,153524,54.78607583218731
4,Richmond,69,209937,75.42946818907419
5,Coquitlam,45,148625,52.99336884698197
6,Delta,37,108455,38.29383024814578
7,New Westminster,29,78916,27.484528015857457
8,City of Langley,26,28963,9.205064445340552
9,Maple Ridge,22,90990,31.90280606022759
10,Port Coquitlam,22,61498,21.110702690626468
11,West Vancouver,13,44122,14.752246561839375
12,North Vancouver,12,58120,19.874580176639203
13,Port Moody,10,33535,10.878111258232735
