,lat,lon,timestamp,amenity,name,wikipedia
1531,49.2843841,-123.1088901,2018-02-01T22:41:54.000-08:00,clock,Gastown Steam Clock,en:Steam clock#Gastown steam clock
1598,49.3095361,-123.0838831,2020-03-25T06:16:23.000-07:00,ferry_terminal,Lonsdale Quay,en:Lonsdale Quay (TransLink)
6382,49.24655,-123.1270994,2019-09-13T13:57:03.000-07:00,place_of_worship,Congregation Beth Israel,en:Congregation_Beth_Israel_(Vancouver)
7229,49.2819635,-123.1333845,2019-03-19T01:50:46.000-07:00,cafe,Blenz Coffee,en:Blenz Coffee
7231,49.2805916,-123.1207429,2019-11-22T19:58:24.000-08:00,nightclub,Commodore Ballroom,en:Commodore Ballroom
9636,49.1984073,-122.8130073,2019-05-29T03:38:31.000-07:00,fuel,Shell,en:Shell Canada
10290,49.1876904,-122.8484563,2019-09-13T13:56:49.000-07:00,pub,Central City Brewing Company,en:Central City Brewing Company
11410,49.0985048,-122.7062989,2020-02-23T03:35:19.000-08:00,studio,Linus Media Group,en:Linus Media Group
12360,49.2803131,-123.1131613,2019-03-19T06:06:43.000-07:00,theatre,Queen Elizabeth Theatre,en:Queen Elizabeth Theatre
14530,49.2823162,-122.82998,2019-08-12T23:13:48.000-07:00,townhall,Port Moody City Hall,en:Port Moody
14531,49.2825169,-122.8296495,2019-08-12T21:09:14.000-07:00,library,Port Moody Library,en:Port Moody
14900,49.0719916,-122.8223443,2019-09-13T13:57:05.000-07:00,bus_station,South Surrey Park and Ride,en:South Surrey Park and Ride
16731,49.2045746,-123.1280662,2020-06-14T04:33:10.000-07:00,motorcycle_rental,EagleRider,en:EagleRider
17584,49.254876,-122.9111248,2019-03-19T06:11:23.000-07:00,school,Burnaby Mountain High School,en:Burnaby Mountain Secondary School
